iter	MultiClass
0	1.352194562
1	1.316603166
2	1.28087312
3	1.252866039
4	1.215925405
5	1.179639879
6	1.146647721
7	1.123359348
8	1.096449524
9	1.068566796
10	1.035558014
11	1.009831274
12	0.9929913836
13	0.9690399202
14	0.9449798802
15	0.9204576908
16	0.9001064153
17	0.8793870932
18	0.8569393494
19	0.8392223033
20	0.8190938687
21	0.8016232891
22	0.7824549098
23	0.7647356685
24	0.7482246094
25	0.7312904898
26	0.7197637659
27	0.701233244
28	0.6862165016
29	0.6715444689
30	0.6579630234
31	0.6450153442
32	0.6298529558
33	0.6169212637
34	0.6014254484
35	0.5896689352
36	0.5783062488
37	0.569100731
38	0.5579513899
39	0.5482591768
40	0.5367153135
41	0.5271589899
42	0.5159725749
43	0.5048267722
44	0.4962006344
45	0.488147221
46	0.4773333215
47	0.4696899038
48	0.4613282077
49	0.4488965455
50	0.4413154345
51	0.4319458915
52	0.4269267081
53	0.417489161
54	0.4085962837
55	0.4009267105
56	0.3955262964
57	0.3879115941
58	0.3818247278
59	0.3745954039
60	0.3672594766
61	0.3596435027
62	0.3537036875
63	0.3468079914
64	0.3402879287
65	0.334280101
66	0.3279624355
67	0.3209225637
68	0.3151022746
69	0.3099629172
70	0.3031683076
71	0.2973615103
72	0.2904804796
73	0.2860288029
74	0.2814507044
75	0.2760286631
76	0.2717976165
77	0.2674540403
78	0.2621465586
79	0.258551728
80	0.2536323772
81	0.2498118461
82	0.2460245963
83	0.242236602
84	0.2397075652
85	0.2370544475
86	0.2337331001
87	0.2306410206
88	0.2270583125
89	0.2238048984
90	0.2201529695
91	0.2165540131
92	0.2136707151
93	0.2104655122
94	0.2075587368
95	0.2061799779
96	0.2034904931
97	0.201195934
98	0.1977878404
99	0.1957452339
100	0.1933769683
101	0.1914694867
102	0.1879095033
103	0.1852110392
104	0.18241477
105	0.1804567698
106	0.1781994599
107	0.1762360501
108	0.1744471183
109	0.1725042611
110	0.1705010343
111	0.1681304986
112	0.1658993055
113	0.1639231627
114	0.1615569355
115	0.1596866777
116	0.1580687706
117	0.1559405742
118	0.1538052122
119	0.1518999865
120	0.1498116548
121	0.1485424047
122	0.147935237
123	0.1462360973
124	0.1446108023
125	0.1423980946
126	0.1409959558
127	0.1397085469
128	0.1382971564
129	0.1367903646
130	0.1359697017
131	0.1343075477
132	0.1331677183
133	0.1316767008
134	0.1302063328
135	0.1286961332
136	0.1278039746
137	0.1263503288
138	0.1248887424
139	0.123649605
140	0.1223177731
141	0.1213290403
142	0.1202949192
143	0.119167448
144	0.1180758111
145	0.1169448814
146	0.1158472807
147	0.1149081154
148	0.1142813816
149	0.1132810964
150	0.1121111404
151	0.1109870341
152	0.1101455415
153	0.1092330061
154	0.1082443743
155	0.1072024415
156	0.1070245921
157	0.1060935727
158	0.1055436793
159	0.1046038589
160	0.1037618913
161	0.1029036703
162	0.1021598257
163	0.1011547627
164	0.1002119612
165	0.09943652343
166	0.09861153984
167	0.09794326126
168	0.0969534461
169	0.09596783803
170	0.09560737556
171	0.09478055509
172	0.09401180588
173	0.09305312863
174	0.09270648223
175	0.0922252993
176	0.0915447653
177	0.09106631255
178	0.09022324576
179	0.08964234922
180	0.08894292626
181	0.08850273552
182	0.0878470307
183	0.08731838289
