imputation,synthesis,model,fold_id,balanced_accuracy,accuracy,f1_weighted
mice,ctgan,RF,0,0.346903134606939,0.40476190476190477,0.3649709041865905
mice,ctgan,CatBoost,0,0.3914484519104084,0.42857142857142855,0.4148467488021028
mice,ctgan,Stacking,0,0.3427469898257941,0.373015873015873,0.3626562380185568
mice,ctgan,RF,1,0.33441558441558444,0.36507936507936506,0.35002877597474225
mice,ctgan,CatBoost,1,0.33309659090909094,0.35714285714285715,0.3498025926490186
mice,ctgan,Stacking,1,0.28104707792207795,0.3253968253968254,0.27480833603282584
mice,ctgan,RF,2,0.3774108842043624,0.40476190476190477,0.3962719380556193
mice,ctgan,CatBoost,2,0.3416307550139072,0.38095238095238093,0.3726044074341787
mice,ctgan,Stacking,2,0.30855429292929293,0.3412698412698413,0.3227145431713455
mice,ctgan,RF,3,0.3777394480519481,0.4126984126984127,0.39905937683715464
mice,ctgan,CatBoost,3,0.3538961038961039,0.3888888888888889,0.37835095338086966
mice,ctgan,Stacking,3,0.3556209415584416,0.40476190476190477,0.3745549901142647
mice,ctgan,RF,4,0.3143733530961792,0.35714285714285715,0.330241514595256
mice,ctgan,CatBoost,4,0.3200197170985214,0.3412698412698413,0.3374149659863946
mice,ctgan,Stacking,4,0.29178332235397453,0.3333333333333333,0.3131292300770451
mice,ctgan,RF,5,0.32589285714285715,0.36507936507936506,0.3473669187954902
mice,ctgan,CatBoost,5,0.39113230519480524,0.42857142857142855,0.42118218671890983
mice,ctgan,Stacking,5,0.31716720779220775,0.3492063492063492,0.33785774999082235
mice,ctgan,RF,6,0.2906053286488069,0.3253968253968254,0.3171263085179872
mice,ctgan,CatBoost,6,0.2951091531254575,0.3253968253968254,0.31702831273100257
mice,ctgan,Stacking,6,0.29518806726687163,0.3253968253968254,0.2849428106422251
mice,ctgan,RF,7,0.38524756493506496,0.42063492063492064,0.4043661489753134
mice,ctgan,CatBoost,7,0.32010957792207795,0.36507936507936506,0.34057232818842725
mice,ctgan,Stacking,7,0.31523944805194803,0.36507936507936506,0.32106035124903054
mice,ctgan,RF,8,0.37437669265114915,0.4126984126984127,0.3979415089278762
mice,ctgan,CatBoost,8,0.4010290861513688,0.4126984126984127,0.4111645211851115
mice,ctgan,Stacking,8,0.3205229377104377,0.38095238095238093,0.3301083396321492
