lane,stage,fold,target_variant,feature_variant,outlier_policy,imputation,synthesis,model,config_key,status,error,n_train,n_test,n_features,balanced_accuracy,accuracy,f1_weighted,f1_macro,precision_weighted,precision_macro,recall_weighted,recall_macro,roc_auc,pr_auc,sensitivity,specificity,ordinal_mae,adjacent_error_rate,distant_error_rate,recall_class_0,recall_class_1
strict,final_5x2,0,severity_binary,all,none,mean,none,balanced_rf,severity_binary|all|none|mean|none|balanced_rf,ok,,126,126,55,0.6574074074074074,0.6746031746031746,0.6693829046770223,0.6589423648247177,0.6712522045855379,0.6679012345679012,0.6746031746031746,0.6574074074074074,0.6944444444444444,0.7334046440180603,0.7777777777777778,0.5370370370370371,,,,0.5370370370370371,0.7777777777777778
strict,final_5x2,0,severity_binary,all,none,mean,none,easy_ensemble,severity_binary|all|none|mean|none|easy_ensemble,ok,,126,126,55,0.6365740740740741,0.6428571428571429,0.6432466615952854,0.6362353243087189,0.6437168465337479,0.6359795134443021,0.6428571428571429,0.6365740740740741,0.6682098765432098,0.707677632982795,0.6805555555555556,0.5925925925925926,,,,0.5925925925925926,0.6805555555555556
strict,final_5x2,0,severity_binary,all,none,mean,none,catboost_balanced,severity_binary|all|none|mean|none|catboost_balanced,ok,,126,126,55,0.6574074074074074,0.6666666666666666,0.6658051176014473,0.658051176014474,0.6652806652806654,0.659043659043659,0.6666666666666666,0.6574074074074074,0.6895576131687242,0.729678445596462,0.7222222222222222,0.5925925925925926,,,,0.5925925925925926,0.7222222222222222
strict,final_5x2,0,severity_binary,all,none,mean,none,rf_balanced,severity_binary|all|none|mean|none|rf_balanced,ok,,126,126,55,0.6134259259259259,0.6349206349206349,0.6261446886446886,0.6129807692307693,0.6292517006802721,0.625,0.6349206349206349,0.6134259259259259,0.6895576131687243,0.7318889703634377,0.7638888888888888,0.46296296296296297,,,,0.46296296296296297,0.7638888888888888
strict,final_5x2,0,severity_binary,all,none,mean,none,extra_trees,severity_binary|all|none|mean|none|extra_trees,ok,,126,126,55,0.6550925925925926,0.6587301587301587,0.6597113831156384,0.6538240368027601,0.6614361991936363,0.6533180778032037,0.6587301587301587,0.6550925925925926,0.7055041152263374,0.7471007254588998,0.6805555555555556,0.6296296296296297,,,,0.6296296296296297,0.6805555555555556
strict,final_5x2,1,severity_binary,all,none,gain,random_over,balanced_rf,severity_binary|all|none|gain|random_over|balanced_rf,ok,,144,126,55,0.6128040973111395,0.6190476190476191,0.6190476190476191,0.6128040973111395,0.6190476190476191,0.6128040973111395,0.6190476190476191,0.6128040973111395,0.7026888604353392,0.7507814660918872,0.6619718309859155,0.5636363636363636,,,,0.5636363636363636,0.6619718309859155
strict,final_5x2,1,severity_binary,all,none,gain,smote,balanced_rf,severity_binary|all|none|gain|smote|balanced_rf,ok,,144,126,55,0.6793854033290653,0.6825396825396826,0.6831065759637189,0.6785714285714286,0.6840168052982698,0.6781083142639206,0.6825396825396826,0.6793854033290653,0.7390524967989757,0.7652737854358566,0.704225352112676,0.6545454545454545,,,,0.6545454545454545,0.704225352112676
strict,final_5x2,1,severity_binary,all,none,gain,random_over,rf_balanced,severity_binary|all|none|gain|random_over|rf_balanced,ok,,144,126,55,0.6057618437900127,0.6111111111111112,0.6114838242497816,0.6055204140310524,0.6119331065759637,0.6053571428571429,0.6111111111111112,0.6057618437900127,0.6950064020486556,0.7277065734035151,0.647887323943662,0.5636363636363636,,,,0.5636363636363636,0.647887323943662
strict,final_5x2,1,severity_binary,all,none,gain,smote,catboost_balanced,severity_binary|all|none|gain|smote|catboost_balanced,ok,,144,126,55,0.6359795134443021,0.6428571428571429,0.6424676241190003,0.6362353243087189,0.6421590241034686,0.6365740740740741,0.6428571428571429,0.6359795134443021,0.7149807938540332,0.7673474629545488,0.6901408450704225,0.5818181818181818,,,,0.5818181818181818,0.6901408450704225
strict,final_5x2,1,severity_binary,all,none,gain,adasyn,rf_balanced,severity_binary|all|none|gain|adasyn|rf_balanced,ok,,134,126,55,0.6550576184379001,0.6666666666666666,0.6638080388080388,0.6561850311850312,0.6640162558529906,0.660482374768089,0.6666666666666666,0.6550576184379001,0.725224071702945,0.7716389525185658,0.7464788732394366,0.5636363636363636,,,,0.5636363636363636,0.7464788732394366
strict,final_5x2,1,severity_binary,missing_indicators,none,mean,smote,rf_balanced,severity_binary|missing_indicators|none|mean|smote|rf_balanced,ok,,144,126,108,0.6562099871959026,0.6587301587301587,0.6595775212952267,0.6550582542815305,0.6611690653272804,0.6546653144016228,0.6587301587301587,0.6562099871959026,0.7241997439180536,0.7601365405883557,0.676056338028169,0.6363636363636364,,,,0.6363636363636364,0.676056338028169
strict,final_5x2,1,severity_binary,all,none,gain,none,balanced_rf,severity_binary|all|none|gain|none|balanced_rf,ok,,126,126,55,0.6793854033290653,0.6825396825396826,0.6831065759637189,0.6785714285714286,0.6840168052982698,0.6781083142639206,0.6825396825396826,0.6793854033290653,0.7371318822023047,0.7710475064160639,0.704225352112676,0.6545454545454545,,,,0.6545454545454545,0.704225352112676
strict,final_5x2,1,severity_binary,drop_gt50_missing,none,gain,none,catboost_balanced,severity_binary|drop_gt50_missing|none|gain|none|catboost_balanced,ok,,126,126,43,0.6400768245838668,0.6428571428571429,0.6437439176345396,0.6390144521550901,0.6453564184294407,0.6386916835699796,0.6428571428571429,0.6400768245838668,0.7034571062740076,0.7403114694583696,0.6619718309859155,0.6181818181818182,,,,0.6181818181818182,0.6619718309859155
strict,final_5x2,1,severity_binary,missing_indicators,none,raw,none,catboost_balanced,severity_binary|missing_indicators|none|raw|none|catboost_balanced,ok,,126,126,108,0.652112676056338,0.6587301587301587,0.6583579519359336,0.6524026432283313,0.6580687830687831,0.6527777777777778,0.6587301587301587,0.652112676056338,0.7247119078104993,0.7487830424802852,0.704225352112676,0.6,,,,0.6,0.704225352112676
strict,final_5x2,1,severity_binary,drop_gt50_missing,none,raw,none,catboost_balanced,severity_binary|drop_gt50_missing|none|raw|none|catboost_balanced,ok,,126,126,43,0.680281690140845,0.6904761904761905,0.68837058632977,0.6816326530612244,0.6884711779448622,0.6852631578947368,0.6904761904761905,0.680281690140845,0.723943661971831,0.7514273205078462,0.7605633802816901,0.6,,,,0.6,0.7605633802816901
strict,final_5x2,1,severity_binary,all,none,gain,random_over,catboost_balanced,severity_binary|all|none|gain|random_over|catboost_balanced,ok,,144,126,55,0.6218950064020486,0.626984126984127,0.6273416273416274,0.6216216216216216,0.6277777777777778,0.6214285714285714,0.626984126984127,0.6218950064020486,0.7229193341869398,0.7640256469564263,0.6619718309859155,0.5818181818181818,,,,0.5818181818181818,0.6619718309859155
strict,final_5x2,1,severity_binary,all,none,gain,smote,rf_balanced,severity_binary|all|none|gain|smote|rf_balanced,ok,,144,126,55,0.6541613316261203,0.6587301587301587,0.6590572335253186,0.6538240368027601,0.6594671201814057,0.6535714285714285,0.6587301587301587,0.6541613316261203,0.7160051216389244,0.7607383138851007,0.6901408450704225,0.6181818181818182,,,,0.6181818181818182,0.6901408450704225
strict,final_5x2,1,severity_binary,all,none,mean,none,balanced_rf,severity_binary|all|none|mean|none|balanced_rf,ok,,126,126,55,0.6884763124199744,0.6904761904761905,0.6912447286166011,0.6871458585344115,0.6927943591229595,0.6866125760649088,0.6904761904761905,0.6884763124199744,0.7541613316261203,0.7870451449576312,0.704225352112676,0.6727272727272727,,,,0.6727272727272727,0.704225352112676
strict,final_5x2,1,severity_binary,all,none,mean,none,easy_ensemble,severity_binary|all|none|mean|none|easy_ensemble,ok,,126,126,55,0.6280409731113956,0.626984126984127,0.6284719395830507,0.6250712250712251,0.6338165642601127,0.626008064516129,0.626984126984127,0.6280409731113956,0.6860435339308579,0.7372686602401863,0.6197183098591549,0.6363636363636364,,,,0.6363636363636364,0.6197183098591549
strict,final_5x2,1,severity_binary,all,none,mean,none,catboost_balanced,severity_binary|all|none|mean|none|catboost_balanced,ok,,126,126,55,0.6653008962868118,0.6666666666666666,0.6676837020086448,0.6636155606407322,0.6700396323467408,0.6632937009865925,0.6666666666666666,0.6653008962868118,0.7375160051216388,0.7591549815557995,0.676056338028169,0.6545454545454545,,,,0.6545454545454545,0.676056338028169
strict,final_5x2,1,severity_binary,all,none,mean,none,rf_balanced,severity_binary|all|none|mean|none|rf_balanced,ok,,126,126,55,0.6914212548015365,0.6984126984126984,0.6977145796590241,0.6921296296296297,0.6973706343052427,0.6932023778754199,0.6984126984126984,0.6914212548015365,0.7408450704225352,0.7624769156422071,0.7464788732394366,0.6363636363636364,,,,0.6363636363636364,0.7464788732394366
strict,final_5x2,1,severity_binary,all,none,mean,none,extra_trees,severity_binary|all|none|mean|none|extra_trees,ok,,126,126,55,0.68348271446863,0.6825396825396826,0.6837470620432082,0.6805273833671399,0.6880401929582258,0.6807061790668348,0.6825396825396826,0.68348271446863,0.7231754161331626,0.7567550333984129,0.676056338028169,0.6909090909090909,,,,0.6909090909090909,0.676056338028169
strict,final_5x2,2,severity_binary,all,none,gain,random_over,balanced_rf,severity_binary|all|none|gain|random_over|balanced_rf,ok,,142,126,55,0.6041666666666667,0.6190476190476191,0.6154621848739495,0.6047058823529412,0.6146978021978022,0.6081730769230769,0.6190476190476191,0.6041666666666667,0.6995884773662551,0.750797413376171,0.7083333333333334,0.5,,,,0.5,0.7083333333333334
strict,final_5x2,2,severity_binary,all,none,gain,smote,balanced_rf,severity_binary|all|none|gain|smote|balanced_rf,ok,,142,126,55,0.6203703703703703,0.6428571428571429,0.6332072218763469,0.619845792826014,0.6377946300471409,0.6342898134863701,0.6428571428571429,0.6203703703703703,0.6929012345679011,0.75113344097203,0.7777777777777778,0.46296296296296297,,,,0.46296296296296297,0.7777777777777778
strict,final_5x2,2,severity_binary,all,none,gain,random_over,rf_balanced,severity_binary|all|none|gain|random_over|rf_balanced,ok,,142,126,55,0.662037037037037,0.6746031746031746,0.6721648716826928,0.6633869811689581,0.6718791412668965,0.6669758812615956,0.6746031746031746,0.662037037037037,0.7091049382716049,0.7603351667000302,0.75,0.5740740740740741,,,,0.5740740740740741,0.75
strict,final_5x2,2,severity_binary,all,none,gain,smote,catboost_balanced,severity_binary|all|none|gain|smote|catboost_balanced,ok,,142,126,55,0.5740740740740741,0.5952380952380952,0.5866501971590099,0.5725972730295976,0.5872393227394628,0.580694872513309,0.5952380952380952,0.5740740740740741,0.6342592592592594,0.7174667680856299,0.7222222222222222,0.42592592592592593,,,,0.42592592592592593,0.7222222222222222
strict,final_5x2,2,severity_binary,all,none,gain,adasyn,rf_balanced,severity_binary|all|none|gain|adasyn|rf_balanced,ok,,127,126,55,0.6157407407407407,0.6428571428571429,0.6283530134461811,0.6129956999522217,0.6388009196997961,0.6366535074400244,0.6428571428571429,0.6157407407407407,0.680812757201646,0.7413121078094465,0.8055555555555556,0.42592592592592593,,,,0.42592592592592593,0.8055555555555556
strict,final_5x2,2,severity_binary,missing_indicators,none,mean,smote,rf_balanced,severity_binary|missing_indicators|none|mean|smote|rf_balanced,ok,,142,126,108,0.6365740740740742,0.6507936507936508,0.6475070028011205,0.6376470588235295,0.6472069597069597,0.6418269230769231,0.6507936507936508,0.6365740740740742,0.6666666666666666,0.7347930847240676,0.7361111111111112,0.5370370370370371,,,,0.5370370370370371,0.7361111111111112
