lane,stage,fold,target_variant,feature_variant,outlier_policy,imputation,synthesis,model,config_key,status,error,n_train,n_test,n_features,balanced_accuracy,accuracy,f1_weighted,f1_macro,precision_weighted,precision_macro,recall_weighted,recall_macro,roc_auc,pr_auc,sensitivity,specificity,ordinal_mae,adjacent_error_rate,distant_error_rate,recall_class_0,recall_class_1,recall_class_2,recall_class_3
strict,final_5x2,1,mayo_4class,all,none,mean,tvae,stacking,mayo_4class|all|none|mean|tvae|stacking,ok,,252,126,55,0.38788555194805197,0.3253968253968254,0.2580549408668496,0.2964185881864678,0.22810666513025862,0.25623109497882635,0.3253968253968254,0.38788555194805197,,,,,1.0873015873015872,0.3492063492063492,0.3253968253968254,0.6363636363636364,0.34375,0.0,0.5714285714285714
strict,final_5x2,1,mayo_4class,drop_gt70_missing,none,pmm,none,rf,mayo_4class|drop_gt70_missing|none|pmm|none|rf,ok,,126,126,47,0.3699269480519481,0.4126984126984127,0.39421141192462233,0.36343043058472435,0.44021153996523454,0.42620705443981305,0.4126984126984127,0.3699269480519481,,,,,0.8015873015873016,0.4126984126984127,0.1746031746031746,0.22727272727272727,0.4375,0.6363636363636364,0.17857142857142858
strict,final_5x2,1,mayo_4class,all,none,mean,none,rf,mayo_4class|all|none|mean|none|rf,ok,,126,126,55,0.3783482142857143,0.4126984126984127,0.4090437168544021,0.3829570751064653,0.42224906156794706,0.40540902595856154,0.4126984126984127,0.3783482142857143,,,,,0.8492063492063492,0.373015873015873,0.21428571428571427,0.18181818181818182,0.40625,0.5681818181818182,0.35714285714285715
strict,final_5x2,1,mayo_4class,drop_gt70_missing,none,mice,none,stacking,mayo_4class|drop_gt70_missing|none|mice|none|stacking,ok,,126,126,47,0.35978084415584416,0.30158730158730157,0.23912771467119295,0.27748910595377985,0.20488345488345489,0.23423423423423423,0.30158730158730157,0.35978084415584416,,,,,1.0873015873015872,0.3968253968253968,0.30158730158730157,0.5909090909090909,0.3125,0.0,0.5357142857142857
strict,final_5x2,1,mayo_4class,drop_gt70_missing,none,mean,none,stacking,mayo_4class|drop_gt70_missing|none|mean|none|stacking,ok,,126,126,47,0.3198051948051948,0.2777777777777778,0.2576317955328476,0.27731850721808116,0.28883534895439655,0.2912766053391053,0.2777777777777778,0.3198051948051948,,,,,1.119047619047619,0.38095238095238093,0.3412698412698413,0.5454545454545454,0.25,0.09090909090909091,0.39285714285714285
strict,final_5x2,1,mayo_4class,all,none,softimpute,tvae,stacking,mayo_4class|all|none|softimpute|tvae|stacking,ok,,252,126,55,0.320211038961039,0.2698412698412698,0.2065100957576647,0.23683677400499498,0.24962414575941144,0.250265334504465,0.2698412698412698,0.320211038961039,,,,,1.1111111111111112,0.4365079365079365,0.29365079365079366,0.45454545454545453,0.125,0.022727272727272728,0.6785714285714286
strict,final_5x2,1,mayo_4class,drop_gt70_missing,none,pmm,none,stacking,mayo_4class|drop_gt70_missing|none|pmm|none|stacking,ok,,126,126,47,0.41112012987012986,0.3492063492063492,0.3025168979506879,0.3407387893689263,0.3314565720408034,0.34075794100964263,0.3492063492063492,0.41112012987012986,,,,,0.9603174603174603,0.3968253968253968,0.25396825396825395,0.7727272727272727,0.375,0.06818181818181818,0.42857142857142855
strict,final_5x2,1,mayo_4class,all,none,mean,none,catboost,mayo_4class|all|none|mean|none|catboost,ok,,126,126,55,0.3050933441558441,0.3333333333333333,0.3357914124553931,0.30708043366786314,0.3430999894414528,0.31402439024390244,0.3333333333333333,0.3050933441558441,,,,,0.9920634920634921,0.3968253968253968,0.2698412698412698,0.13636363636363635,0.34375,0.45454545454545453,0.2857142857142857
strict,final_5x2,2,mayo_4class,drop_gt70_missing,none,pmm,tvae,stacking,mayo_4class|drop_gt70_missing|none|pmm|tvae|stacking,ok,,252,126,47,0.3476739770897379,0.30952380952380953,0.28178316160772304,0.3022295321637427,0.47240537240537245,0.4251602564102564,0.30952380952380953,0.3476739770897379,,,,,1.0714285714285714,0.4126984126984127,0.2777777777777778,0.43478260869565216,0.40625,0.06818181818181818,0.48148148148148145
strict,final_5x2,2,mayo_4class,drop_gt70_missing,none,pmm,tvae,catboost,mayo_4class|drop_gt70_missing|none|pmm|tvae|catboost,ok,,252,126,47,0.3351243412384716,0.35714285714285715,0.35901576945391384,0.3409834366664264,0.3720948536128547,0.35799856136621716,0.35714285714285715,0.3351243412384716,,,,,0.9761904761904762,0.35714285714285715,0.2857142857142857,0.21739130434782608,0.3125,0.4772727272727273,0.3333333333333333
